127.0.0.1, 2019-08-02 11:29:25, GET, /, HTTP/1.1, 303, 0.000531
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/default/index, HTTP/1.1, 200, 1.587461
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000441
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001443
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000860
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001244
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001774
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001469
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000530
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000255
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002720
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000196
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.001907
127.0.0.1, 2019-08-02 11:29:27, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001374
127.0.0.1, 2019-08-02 11:30:55, GET, /admin/default/index, HTTP/1.1, 200, 0.091088
127.0.0.1, 2019-08-02 11:30:55, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.000532
127.0.0.1, 2019-08-02 11:30:55, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.001146
127.0.0.1, 2019-08-02 11:30:55, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.001791
127.0.0.1, 2019-08-02 11:30:55, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.001084
